group,rqs_pre,rqs_post,rqs_chg,dqs_pre,dqs_post,dqs_chg
Control (wide),4.067665102223955,3.3653103633013326,-0.7023547389226228,20.311748998664477,15.745595489781406,-4.566153508883071
Treated (tick-constrained),3.5547447263013514,3.585016651216423,0.03027192491507158,1.3342318059299256,1.1916842847075446,-0.142547521222381
DiD,,,0.7326266638376944,,,4.4236059876606895
