outcome,N,r2,ln_ai,ln_ai_t,ln_rob,ln_rob_t,size,size_t
ln(Employment),81832,0.5012832099908948,0.05450522211976113,7.46957540337006,-0.013540952625231488,-0.6812375406004143,0.6971804988499584,73.38586211416997
ln(Sales/Emp),79229,0.050633549992978755,-0.02831869979718087,-3.9965541094789376,-0.03720789485365237,-2.3812977584669386,0.11226527738428925,9.855619823616838
ROA,83726,0.016895961655517877,-0.013874178147192754,-3.929170891948575,0.008787817263192492,1.0091449246910547,0.19295766447684956,14.010246862650398
Tobin's Q,83589,0.025061473802620915,-0.27488473223097387,-6.259205139586024,0.39752450658452065,4.969395421736814,-0.6770643365630392,-11.464922663683701
