spec,ai_emp,ai_emp_t,rob_q,rob_q_t,N
Baseline (firm + year FE),0.05450522211976113,7.46957540337006,0.39752450658452065,4.969395421736814,81832
+ Industry$\times$year FE,0.035696542746351735,4.779074285875842,0.32230988905824776,4.01562200441662,81832
"+ Accounting controls (ROA, lev.)",0.05262483599184366,7.225743721078698,0.42063928679649926,5.269940557265976,81786
Drop size control,0.11667776707871343,9.415763321266994,0.4238843364625988,5.245832632367472,81834
Modern era (year $\geq$ 2005),0.06404047593732695,7.293189421650647,0.22676194147883394,2.697712346139274,48350
