id,raw_chars,anon_chars,n_redactions,name_leak_raw,name_leak_anon,ok
155837021001513,6000,6019,10,1,0,True
156459021008860,6000,6002,1,0,0,True
119312521055751,6000,6004,2,0,0,True
103405421000003,6000,6022,11,0,0,True
121254521000085,6000,6001,3,0,0,True
155837021001730,6000,6002,1,0,0,True
167846321000010,6000,6002,1,0,0,True
156459021008848,6000,6002,1,0,0,True
156459021008799,6000,6001,3,0,0,True
156459021008446,773,773,0,0,0,True
147733321000009,6000,6012,6,0,0,True
81979321000017,6000,6011,5,1,0,True
169903921000017,6000,6008,4,0,0,True
117184321001354,6000,6014,12,0,0,True
155837021001956,6000,6004,2,0,0,True
109428521000066,6000,6014,13,11,0,True
155837021001976,6000,6004,1,1,0,True
175283621000041,6000,6007,4,1,0,True
3521421000006,6000,6002,1,0,0,True
149315221005090,6000,6004,2,0,0,True
143774921004299,6000,6006,3,0,0,True
121390021012513,6000,6000,0,0,0,True
169442621000034,6000,6010,5,0,0,True
143774921004453,6000,6000,0,0,0,True
102265221000017,6000,6000,0,0,0,True
122075421000008,6000,6002,1,0,0,True
733221000016,6000,6038,19,0,0,True
162828021003727,6000,6010,5,0,0,True
88390221000012,6000,6002,7,0,0,True
161068221000024,6000,6000,0,0,0,True
143774921005111,6000,6050,9,8,0,True
156459021012084,6000,6002,1,0,0,True
156459021012063,6000,6000,0,0,0,True
156459021012491,6000,6016,8,0,0,True
165495421002627,6000,6004,2,0,0,True
155837021002943,6000,6015,6,4,0,True
156459021012614,6000,6008,4,0,0,True
123981921000027,6000,6002,1,0,0,True
156459021013158,6000,6000,0,0,0,True
117548321000005,6000,6031,8,8,0,True
90831121000024,6000,5990,4,0,0,True
155837021003089,6000,5980,12,11,0,True
156067221000010,6000,6003,2,2,0,True
155837021003250,6000,6011,6,0,0,True
76447821000024,6000,6004,2,0,0,True
149315221006648,6000,6014,7,1,0,True
143774921006901,6000,6008,4,0,0,True
162828021005489,6000,6009,3,3,0,True
143774921006940,6000,6000,0,0,0,True
156276221000134,6000,6000,0,0,0,True
119312521094619,6000,6004,2,0,0,True
157199621000007,6000,6002,1,0,0,True
156459021015962,6000,6008,4,0,0,True
119312521098128,6000,6005,4,0,0,True
168190321000012,4319,4319,0,0,0,True
143774921007524,6000,6010,5,0,0,True
155837021003681,6000,6010,5,0,0,True
155837021003776,6000,6000,0,0,0,True
175392621000080,3294,3290,4,0,0,True
165495421003659,6000,6002,1,0,0,True
156459021017062,1294,1294,0,0,0,True
143774921007868,6000,6009,7,0,0,True
155335021000257,6000,6000,0,0,0,True
119380521000465,209,209,0,0,0,True
126493121000037,6000,6006,3,0,0,True
149315221008578,6000,6020,10,0,0,True
155837021004258,6000,6022,9,4,0,True
121390021021548,6000,6002,1,0,0,True
144805621000025,6000,6004,2,0,0,True
82705421000106,6000,6002,2,1,0,True
168316821002707,6000,6004,2,0,0,True
156459021039550,6000,6000,2,1,0,True
157791621000009,6000,6040,20,3,0,True
118014521000032,6000,6018,9,0,0,True
156459021046108,6000,6000,0,0,0,True
162828021018059,6000,6006,3,0,0,True
119312521273623,6000,6004,2,0,0,True
1673221000103,6000,6002,1,0,0,True
110465921125343,6000,6000,0,0,0,True
149315221025444,6000,6000,0,0,0,True
162828021025047,6000,6008,2,2,0,True
4661921000085,6000,6008,2,2,0,True
