spec,coef,t,N
(1) Baseline: firm + year FE,0.4810813285363653,5.048195485549436,83589
(2) + industry$\times$year FE,0.4076632365102091,4.092074661795587,83012
(3) Lagged (predetermined) stock,0.315311953779849,3.3483243429960274,76568
(4) Adopter-matched sample,0.4956715517094176,3.1550960897565705,17989
(5) Drop top-1\% mega-caps,0.4910085984659839,4.902088367704306,82751
(6) Two-way clustered SE,0.4810813285363653,3.9306308357749122,83589
(7) Lead falsification: future flow,0.06056774129494706,0.7782061291667048,76592
