moderator,col,b_rel,t_rel,b_int,t_int,b_mod,t_mod,N,R2
High market-to-assets (glamour),hi_val,-0.025452824402788374,-1.5517358330580142,0.004178322126236475,0.18390583329489787,-0.006903529832806906,-0.5202264168357067,567,0.05153007372911822
High asset turnover,hi_turn,-0.018378875615775392,-1.1713083060840088,-0.016781006356869573,-0.5788605009064735,0.010090449892520111,0.5644268626951857,567,0.05417670850000045
Early sample (2022 event),is_2022,-0.025963840110734944,-1.5387972985812925,0.005765499212834253,0.24631922902658207,0.002047066355880127,0.10436543568829479,567,0.0511816733233047
Goods-producing (non-tech mfg.),is_goods,-0.02369494365990768,-1.6912300847243353,-0.00020695627958514822,-0.00884523141219599,-0.004418216359498389,-0.31035070340046605,567,0.05103844542819236
