spec,N,R2,z_rel_layoff,z_rel_layoff_t,z_ln_headcount,z_ln_headcount_t,z_ln_at,z_ln_at_t,is_closure,is_closure_t,is_tech,is_tech_t
(1) Rel. layoff,567,0.04346399842872972,-0.03348659965301613,-2.774121692700806,,,,,,,,
(2) ln(Headcount),568,0.0003405625964211234,,,0.0030055252154875334,0.46435196030097536,,,,,,
(3) ln(Assets),570,0.03699013291837472,,,,,0.030804095817839466,3.3425236357380785,,,,
(4) All three,564,0.052338250708660605,-0.025597744455841308,-1.8668776115711483,0.0056519603125973275,0.8879167393277153,0.015337987206300304,1.5332536951217282,,,,
(5) +Motive/Tech/Yr FE,564,0.0529845513145043,-0.025313032661756024,-1.8229509716765324,0.005160086744657775,0.7386575361270359,0.015429127674841413,1.5714489750381158,-0.0012567152526692191,-0.06915865424079416,0.005796850965965114,0.4659697029452662
