bench,mean_car,t_mean,pct_pos,b_rel,t_rel,b_size,t_size,N
Market model (base),-0.015908000376072127,-2.4081368539069525,0.4886164623467601,-0.024203738729350294,-1.8097627943608998,0.01652962591264519,1.7338442324262564,567
Market-adjusted ($\beta{=}1$),-0.020110262697022766,-3.0277326676275926,0.46935201401050786,-0.027434419815935474,-2.07835420949605,0.019349189345359858,1.9841056369499708,567
S\&P 500-adjusted,-0.020347597197898422,-3.0600480433858617,0.46409807355516636,-0.02708650140567996,-2.05101806405553,0.019560127659403573,2.006503514135877,567
Mean-adjusted,-0.010151496960432042,-1.5286183310181725,0.5131348511383538,-0.019667927598007406,-1.4837517143568812,0.017649957832803084,1.8324434894997914,567
