spec,N,R2,b_size,t_size,b_rel,t_rel,b_closure,t_closure
"DV=CAR[0,+5] (base)",564,0.05272580914681846,0.015196794672855991,1.5166436805685792,-0.025222569664992638,-1.8372433789337208,-0.0014859888240851635,-0.08423192555047655
"DV=CAR[0,+2]",564,0.05379345915914979,0.003227124915944241,0.38286712711683446,-0.030825613567398196,-2.005646733257049,-0.012044214208061557,-0.6422671496793212
"DV=CAR[-1,+5]",566,0.03616097623694292,0.010220955969789737,0.9170659765104857,-0.028029757792437885,-2.040237579888999,0.006656831379990695,0.2549453625028421
Exclude 2022,469,0.0607712977347612,0.010353858530720673,1.2320749299564973,-0.030178914340210687,-1.7340021257001592,-0.012596106678334594,-0.6138678846614989
US firms only,512,0.05487203106929606,0.016857261006655994,1.5028399124642575,-0.024933649748110853,-1.7546246723064045,-0.003215798887676924,-0.15845974419238323
ln(Mktcap) for size,564,0.04871405499835946,0.008816230744305154,0.8315878986561028,-0.028985351877111844,-2.1519484520544925,-6.914770728881766e-05,-0.004115959650000434
