term,real,p_ri,q025,q975,nperm
"Rel. layoff (materiality), $z$",-0.024203738729350294,0.001,-0.013450448664098783,0.01275018680559446,2000
Closure (machine motive proxy),-0.001485988824085145,0.923,-0.03107950114962807,0.029626288000819997,2000
