spec,N,R2,z_rel_layoff,z_rel_layoff_t,is_closure,is_closure_t,z_rel_layoff:is_closure,z_rel_layoff:is_closure_t,z_ln_at,z_ln_at_t,below_med_size,below_med_size_t,z_rel_layoff:below_med_size,z_rel_layoff:below_med_size_t,is_tech,is_tech_t,z_rel_layoff:is_tech,z_rel_layoff:is_tech_t
Closure x Rel.layoff,567,0.05175178964083249,-0.021488095257201353,-1.5499731726739034,-0.004585429727731851,-0.2367617434060774,-0.010283662897529184,-0.3253043130016841,0.01684148569278074,1.7577537086430794,,,,,,,,
Size x Rel.layoff,567,0.053797635790229226,0.04053406627001139,2.077685096960027,,,,,0.025486164803120836,1.8069946464993825,-0.006684425371049333,-0.3184564533584772,-0.06473520400557736,-2.8642077882344466,,,,
Tech x Rel.layoff,567,0.05394029516261445,-0.027475936874899617,-1.789184366163156,,,,,0.016770875608828503,1.767058819505986,,,,,0.010702581951244577,0.7824077364591047,0.021291831692893406,1.226419537708096
