window,mean,median,t_stat,pct_pos,n
"[-1,+1]",-0.004372427671619074,-0.0007052925848164,-0.6533995201309155,0.4973821989528796,573
"[0,+1]",-0.008836998267128833,0.0010399644721831,-1.6896214941930863,0.51138353765324,571
"[0,+2]",-0.01314374859264635,0.0012820919868175,-2.2244269035440314,0.5236427320490368,571
"[0,+5]",-0.015908000376072127,-0.0010110756424173,-2.4081368539069525,0.4886164623467601,571
"[-1,+5]",-0.011418749144929064,-0.0008127007810766,-1.4483568189224343,0.4956369982547993,573
"[-10,-2] placebo",-0.0017824244486144242,0.0006848805491213,-0.31676559402542537,0.5094991364421416,579
