term,coef,se,mde,coef_pp,se_pp,mde_pp,kind
"Rel. layoff (materiality), $z$",-0.025313032661756,0.013885745176391715,0.038902095400001384,-2.5313032661756,1.3885745176391715,3.8902095400001384,coef in CAR pts
"ln(Assets), $z$",0.0154291276748414,0.009818408309736664,0.027507105444433595,1.54291276748414,0.9818408309736664,2.7507105444433595,coef in CAR pts
Closure (machine motive proxy),-0.0012567152526692,0.01817148217334615,0.05090895188461397,-0.12567152526692,1.817148217334615,5.090895188461397,coef in CAR pts
"Average CAR[0,+5]",-0.015908000376072127,0.006605937013198833,0.018507094047122655,-1.5908000376072127,0.6605937013198833,1.8507094047122654,mean in CAR pts
