group,mean_car,median_car,t_stat,n
Closure,-0.015093857906022363,0.0019519613979678,-0.9106234042220752,136
Ongoing-op layoff,-0.016162536872455505,-0.0022735643881911,-2.320511091686965,435
Tech,-0.003781420165185272,-5.554136000683046e-05,-0.41796930708651076,206
Non-tech,-0.02275204290605211,-0.0022735643881911,-2.5353900382485923,365
Small firm (below-median assets),-0.03847310010251476,-0.01160479363987375,-2.8585007111255822,268
Large firm (above-median assets),0.003693557624825335,0.0028398268177969,1.1296384346582367,302
Large rel. layoff (top half),-0.034499660828641074,-0.0084263924892979,-2.6969128751455784,271
Small rel. layoff (bottom half),0.00165221333169255,0.0023174855907657,0.36598850146100276,296
