,count,mean,std,25%,50%,75%
"CAR[0,+5]",571.0,-0.01590800037607213,0.15785287004854248,-0.0348846602701949,-0.0010110756424173,0.028381998203129
"CAR[0,+2]",571.0,-0.01314374859264635,0.14119494825987816,-0.0242406235787401,0.0012820919868175,0.021547306412095
"CAR[-1,+1]",573.0,-0.004372427671619074,0.16018473752424922,-0.0237572850422551,-0.0007052925848164,0.0226218152666691
Layoff headcount,615.0,177.6650406504065,332.23685920777103,52.0,86.0,175.5
Rel. layoff (head/emp),605.0,0.1480568684433715,1.6385782495642789,0.00136,0.0078981302385557,0.0430820215410107
ln(Assets),614.0,8.915476108316096,2.2042982817669654,7.179162872789851,8.955723924210545,10.654510135815162
ln(Mkt cap),614.0,8.90563171528948,2.568689142433652,7.131107808458889,8.942292288181141,10.82165666554733
Closure (0/1),615.0,0.22601626016260162,0.41859027380572644,0.0,0.0,0.0
Tech (0/1),615.0,0.3642276422764228,0.4816046199776801,0.0,0.0,1.0
