date,mktrf,rf,smb,hml,umd,mktret
2024-04-24,-0.0001,0.0002,-0.0031,0.0027,-0.0061,0.0001
2024-04-25,-0.0047,0.0002,-0.0031,-0.002,0.0,-0.0045000000000000005
2024-04-26,0.0103,0.0002,0.0046,-0.0107,0.0117,0.0105
2024-04-29,0.0033,0.0002,0.0038,-0.0048,-0.0098,0.0035
2024-04-30,-0.0167,0.0002,-0.0019,-0.0025,-0.0054,-0.0165
2024-05-01,-0.0027,0.0002,0.0107,0.0003,-0.0027,-0.0025
2024-05-02,0.0101,0.0002,0.0072,-0.0003,0.0044,0.0103
2024-05-03,0.0118,0.0002,0.0002,-0.0019,-0.0025,0.012
2024-05-06,0.0108,0.0002,0.0003,-0.0006,0.0103,0.011000000000000001
2024-05-07,0.0005,0.0002,0.0007,-0.006,-0.0016,0.0007
2024-05-08,-0.0009,0.0002,-0.0054,0.0058,-0.0005,-0.0007
2024-05-09,0.0052,0.0002,0.0042,0.0037,-0.0059,0.005399999999999999
2024-05-10,0.0009,0.0002,-0.0092,0.0001,0.0029,0.0011
2024-05-13,-0.0004,0.0002,0.0024,-0.0026,-0.0115,-0.0002
2024-05-14,0.0056,0.0002,0.0051,0.0002,-0.0028,0.0058
2024-05-15,0.0115,0.0002,-0.0035,-0.0022,0.0111,0.0117
2024-05-16,-0.0025,0.0002,-0.0015,-0.0001,-0.0101,-0.0023
2024-05-17,0.0011,0.0002,-0.0024,0.004,0.0033,0.0013000000000000002
2024-05-20,0.0014,0.0002,0.0027,-0.0088,0.0042,0.0016
2024-05-21,0.0016,0.0002,-0.0045,0.0018,0.0013,0.0018000000000000002
2024-05-22,-0.0035,0.0002,-0.0028,-0.0037,-0.0057,-0.0033
2024-05-23,-0.0084,0.0002,-0.0059,-0.0064,0.0193,-0.008199999999999999
2024-05-24,0.0071,0.0002,0.0004,0.0015,0.0026,0.0073
2024-05-28,-0.0004,0.0002,0.0029,-0.0088,0.0056,-0.0002
2024-05-29,-0.0077,0.0002,-0.0028,-0.0062,0.0024,-0.007500000000000001
2024-05-30,-0.0053,0.0002,0.0103,0.01,-0.0048,-0.0051
2024-05-31,0.0068,0.0002,-0.0036,0.0078,-0.0065,0.006999999999999999
2024-06-03,0.0005,0.0002,-0.002,-0.0057,-0.0019,0.0007
2024-06-04,-0.0006,0.0002,-0.0099,-0.0076,-0.002,-0.00039999999999999996
2024-06-05,0.0123,0.0002,0.0047,-0.0061,0.0115,0.0125
2024-06-06,-0.0006,0.0002,-0.0044,-0.0007,-0.0055,-0.00039999999999999996
2024-06-07,-0.0023,0.0002,-0.0099,0.0007,0.001,-0.0021
2024-06-10,0.0027,0.0002,-0.0012,-0.0028,0.0088,0.0029000000000000002
2024-06-11,0.002,0.0002,0.0013,-0.0106,-0.002,0.0022
2024-06-12,0.0094,0.0002,0.0084,0.0009,0.0067,0.009600000000000001
2024-06-13,0.0005,0.0002,-0.0085,-0.0063,0.0067,0.0007
2024-06-14,-0.0016,0.0002,-0.0129,-0.0064,0.0022,-0.0014
2024-06-17,0.0078,0.0002,-0.0041,0.0052,-0.0011,0.008
