state,company_raw,notice_date,n_employees,city,county,layoff_type,source
TX,"Wise Foods, Inc.",2019-04-29,80.0,Ft. Worth,Tarrant,,warn_tx.json
TX,Falcon Transport Co.-Cedar Hill,2019-04-30,12.0,Cedar Hill,Dallas,,warn_tx.json
TX,Falcon Transport Co.,2019-04-30,19.0,Hutchins,Dallas,,warn_tx.json
TX,Mitratech Holdings,2019-05-01,83.0,Austin,Travis,,warn_tx.json
TX,Product & Logistics-Monahans,2019-05-08,124.0,Monahans,Ward,,warn_tx.json
TX,"United Airlines, Inc.-Passanger Revenue Accounting",2019-05-13,100.0,Houston,Harris,,warn_tx.json
TX,"Dolce International Fort Worth, Inc.-American Airlines Training Ctr.",2019-05-13,56.0,Ft. Worth,Tarrant,,warn_tx.json
TX,Pine Creek Medical Center,2019-05-20,113.0,Dallas,Dallas,,warn_tx.json
TX,Holiday Inn-San Antonio,2019-05-24,61.0,San Antonio,Bexar,,warn_tx.json
TX,Hard Rock Café International,2019-05-31,27.0,Dallas,Dallas,,warn_tx.json
TX,"Aprima Medical Software, Inc. an eMD's Co.",2019-06-04,19.0,Richardson,Dallas,,warn_tx.json
TX,Syngenta Crop Protection LLC-GBB Facility,2019-06-10,135.0,Houston,Harris,,warn_tx.json
TX,Siemens Energy Inc-Houston Service Center,2019-06-14,14.0,Houston,Harris,,warn_tx.json
TX,Albertsons #3933,2019-06-21,90.0,El Paso,El Paso,,warn_tx.json
TX,Sodexo-Northwest Texas Hospital,2019-06-25,95.0,Amarillo,Potter,,warn_tx.json
TX,Aramark-University of Houston,2019-06-27,115.0,Houston,Harris,,warn_tx.json
TX,BGIS-San Antonio Data Center,2019-07-02,45.0,San Antonio,Bexar,,warn_tx.json
TX,Tramontina USA,2019-07-09,108.0,Sugar Land,Fort Bend,,warn_tx.json
TX,Centrica,2019-07-22,54.0,Houston,Harris,,warn_tx.json
TX,Boeing - El Paso,2019-07-22,2.0,El Paso,El Paso,,warn_tx.json
TX,FutureWei-Plano Facility,2019-07-22,38.0,Plano,Collin,,warn_tx.json
TX,Siemens Energy Inc-Houston Service Center,2019-07-24,10.0,Houston,Harris,,warn_tx.json
TX,"True Health Diagnostics, LLC",2019-07-29,16.0,Frisco,Denton,,warn_tx.json
TX,"MV Transportation, Inc-Dallas",2019-07-30,129.0,Dallas,Dallas,,warn_tx.json
TX,Southwest Key Programs-Conroe,2019-07-30,197.0,Conroe,Montgomery,,warn_tx.json
TX,Anjinomoto Foods - Fort Worth Facility,2019-07-30,117.0,Fort Worth,Tarrant,,warn_tx.json
TX,UPS General Services Co.,2019-08-08,64.0,Coppell,Dallas,,warn_tx.json
TX,Centrica,2019-08-09,23.0,Houston,Harris,,warn_tx.json
TX,"SpiceWorks, Inc.",2019-08-14,59.0,Austin,Travis,,warn_tx.json
TX,Welocalize,2019-08-16,100.0,Houston,Harris,,warn_tx.json
TX,Teleperformance USA-Dallas,2019-08-16,44.0,Dallas,Dallas,,warn_tx.json
TX,"Epic Companies, LLC",2019-08-21,8.0,Houston,Harris,,warn_tx.json
TX,United Structures of America,2019-08-21,73.0,Houston,Harris,,warn_tx.json
TX,Nix Home Care Facility,2019-08-23,585.0,San Antonio,Bexar,,warn_tx.json
TX,AECON-Flint Energy Services-Pecos,2019-08-27,50.0,Pecos,Reeves,,warn_tx.json
TX,AECOM-Flint Energy Services-Odessa,2019-08-27,77.0,Odessa,Ector,,warn_tx.json
TX,New LifeCare Management Services dba LifeCare Health Partners,2019-08-30,13.0,Plano,Collin,,warn_tx.json
TX,El Rio Grande Facility,2019-09-03,116.0,Garland,Dallas,,warn_tx.json
TX,"O-I (Owens-Illinois, Inc./Owens-Brockway Glass Container, Inc.)",2019-09-05,81.0,Waco,McLennan,,warn_tx.json
TX,Concentrix CVG CORP,2019-09-10,177.0,Longview,Gregg,,warn_tx.json
TX,State Street Financial Services-Alterra Pkwy,2019-09-12,51.0,Austin,Travis,,warn_tx.json
TX,"State Street Financial Services, Inc",2019-09-12,9.0,Austin,Travis,,warn_tx.json
TX,Nestle USA-Supply Chain Frozen DSD,2019-09-16,51.0,Houston,Harris,,warn_tx.json
TX,Nobilis Health Corp.,2019-09-20,9.0,Houston,Harris,,warn_tx.json
TX,New LifeCare Management Services dba LifeCare Health Partners,2019-09-25,33.0,Plano,Collin,,warn_tx.json
TX,Stevens Tanker Division,2019-09-26,71.0,Dallas,Dallas,,warn_tx.json
TX,Nobilis Health Corp.-Sugarland,2019-09-26,36.0,Sugar Land,Fort Bend,,warn_tx.json
TX,Finisar Corporation,2019-09-26,104.0,Allen,Collin,,warn_tx.json
TX,Dry Van Business dba Rich Logistics-Dallas,2019-09-27,98.0,Dallas,Dallas,,warn_tx.json
TX,Dry Van Business dba Rich Logistics-Laredo,2019-09-27,111.0,Laredo,Webb,,warn_tx.json
TX,Walmart #3506,2019-09-30,80.0,Cypress,Harris,,warn_tx.json
TX,Inpax Final Mile Delivery-Farmers Branch,2019-10-01,109.0,Farmers Branch,Dallas,,warn_tx.json
TX,Inpax Final Mile Delivery-Garland,2019-10-01,119.0,Garland,Dallas,,warn_tx.json
TX,Letter Ride-Howard Ln.,2019-10-04,91.0,Austin,Travis,,warn_tx.json
TX,Letter Ride-W. Fuqua,2019-10-04,87.0,Houston,Harris,,warn_tx.json
TX,Letter Ride-N. Stemmons,2019-10-04,64.0,Farmers Branch,Dallas,,warn_tx.json
TX,Letter Ride-Gold Spike Dr.,2019-10-04,71.0,Ft. Worth,Tarrant,,warn_tx.json
TX,Letter Ride-Evergreen Oak,2019-10-04,12.0,Conroe,Montgomery,,warn_tx.json
TX,Letter Ride-North Gessner,2019-10-04,98.0,Houston,Harris,,warn_tx.json
TX,Nix Specialty Health-Behavioral Facility,2019-10-04,156.0,San Antonio,Bexar,,warn_tx.json
TX,Hotel Valencia Corp.-Hotel Sorella,2019-10-11,121.0,Houston,Harris,,warn_tx.json
TX,HRP Brownsville LLC dba Steel Coast,2019-10-15,100.0,Brownsville,Cameron,,warn_tx.json
TX,"Ultrafryer Systems, LLC",2019-10-17,70.0,San Antonio,Bexar,,warn_tx.json
TX,"Arconic, Inc.",2019-10-17,67.0,Elmendorf,Bexar,,warn_tx.json
TX,"Arconic, Inc.",2019-10-18,67.0,Elmendorf,Bexar,,warn_tx.json
TX,Vesuvius USA-Tyler,2019-10-21,9.0,Tyler,Smith,,warn_tx.json
TX,Harte-Hanks,2019-10-23,146.0,Austin,Travis,,warn_tx.json
TX,Cudd Energy Services,2019-10-23,117.0,San Antonio,Bexar,,warn_tx.json
TX,Oakwood Worldwide,2019-10-29,1.0,Carrollton,Dallas,,warn_tx.json
TX,Samsung Austin Semiconductors LLC-Central Processing Unit,2019-10-29,290.0,Austin,Travis,,warn_tx.json
TX,Nix Hospital-Nix Behavioral Health Center,2019-11-06,972.0,San Antonio,Bexar,,warn_tx.json
TX,Geo Secure Services LLC,2019-11-06,158.0,San Antonio,Bexar,,warn_tx.json
TX,"Convergent Outsourcing, Inc.",2019-11-07,40.0,San Antonio,Bexar,,warn_tx.json
TX,"Range Production Company, LLC.",2019-11-14,57.0,Houston,Harris,,warn_tx.json
TX,"NortonLifeLock, Inc.",2019-11-19,34.0,Plano,Collin,,warn_tx.json
TX,"TimkenSteel Material Services, LLC",2019-11-19,94.0,Houston,Harris,,warn_tx.json
TX,Nuvectra Corporation,2019-11-20,14.0,Plano,Collin,,warn_tx.json
TX,National Oilwell Varco -Galena Park,2019-11-22,85.0,Galena Park,Harris,,warn_tx.json
TX,Pumpco Energy Services-Odessa,2019-11-22,112.0,Odessa,Ector,,warn_tx.json
TX,New LifeCare Management Services dba LifeCare Health Partners,2019-11-26,9.0,Plano,Collin,,warn_tx.json
TX,Pumpco Energy Services-Cleburne,2019-12-10,5.0,Cleburne,Johnson,,warn_tx.json
TX,Stewart and Stevenson,2019-12-13,55.0,Houston,Harris,,warn_tx.json
TX,Yauatcha Houston,2019-12-18,80.0,Houston,Harris,,warn_tx.json
TX,Car2go,2019-12-19,47.0,Austin,Travis,,warn_tx.json
TX,"Event Solutions International, Inc. dba Motus One (ESI)",2019-12-20,18.0,Carrollton,Dallas,,warn_tx.json
TX,"NortonLifeLock, Inc.",2019-12-23,8.0,Plano,Collin,,warn_tx.json
TX,Ambit Energy - Call Center & Sales Support Office,2019-12-30,50.0,Plano,Collin,,warn_tx.json
TX,"Fleetwood Transportation Services, Inc.& Fleetwood Logistics",2020-01-03,49.0,Burke,Angelina,,warn_tx.json
TX,Apache Corp-San Antonio,2020-01-06,272.0,San Antonio,Bexar,,warn_tx.json
TX,"Valerus Field Solutions, LP",2020-01-06,250.0,Sealy,Austin,,warn_tx.json
TX,Kindred Hospital-Bay Area,2020-01-08,137.0,Pasadena,Harris,,warn_tx.json
TX,Kindred Hospital-Tomball,2020-01-08,147.0,Tomball,Harris,,warn_tx.json
TX,Triumph Hospital - The Heights,2020-01-08,138.0,Houston,Harris,,warn_tx.json
TX,Fluor - Glen Rose,2020-01-13,70.0,Glen Rose,Somervell,,warn_tx.json
TX,Comcast-Technician Logistics Center,2020-01-15,58.0,Houston,Harris,,warn_tx.json
TX,Belk-Dallas Galleria,2020-01-15,68.0,Dallas,Dallas,,warn_tx.json
TX,Kindred Hospital Spring,2020-01-15,160.0,Houston,Harris,,warn_tx.json
TX,Kindred Hospital-Ft. Worth,2020-01-15,180.0,Ft. Worth,Tarrant,,warn_tx.json
TX,Kindred Hospital-Dallas,2020-01-15,201.0,Dallas,Dallas,,warn_tx.json
TX,Concentrix CVG CORP,2020-01-21,127.0,Longview,Gregg,,warn_tx.json
TX,Sheridan Production Co.-Houston,2020-01-27,130.0,Houston,Harris,,warn_tx.json
TX,At Home with Shanel,2020-01-28,1.0,Plano,Collin,,warn_tx.json
TX,"Sheridan Production Company, LLC",2020-01-29,116.0,Andrews,Andrews,,warn_tx.json
TX,Coca Cola-Southwest Beverages-Nacogdoches,2020-01-30,74.0,Nacogdoches,Nacogdoches,,warn_tx.json
TX,TTEC - Ennis,2020-01-31,50.0,Ennis,Ellis,,warn_tx.json
TX,Gulf Stream Marine - Industrial Terminal Facility,2020-01-31,210.0,Houston,Harris,,warn_tx.json
TX,Waitr and Bite Squad,2020-02-03,219.0,Beaumont,Jefferson,,warn_tx.json
TX,Transform SR LLC #01377-and #06222 Formally Sears,2020-02-04,77.0,Houston,Harris,,warn_tx.json
TX,Watson Grinding and Manufacturing,2020-02-05,88.0,Houston,Harris,,warn_tx.json
TX,Railcrew Xpress-RCX Logistics-Austin,2020-02-12,88.0,Austin,Travis,,warn_tx.json
TX,XPO Logistics-Ft Worth,2020-02-12,304.0,Ft. Worth,Denton,,warn_tx.json
TX,Railcrew Express-RCX Logistics,2020-02-12,110.0,Houston,Harris,,warn_tx.json
TX,"Alta Mesa Services, LP",2020-02-18,91.0,Houston,Harris,,warn_tx.json
TX,AmerisourceBergen-PharMedium Healthcare,2020-02-19,365.0,Sugar Land,Fort Bend,,warn_tx.json
TX,Blue Apron- Arlington,2020-02-21,254.0,Arlington,Tarrant,,warn_tx.json
TX,TPC Group's,2020-02-25,100.0,Port Neches,Jefferson,,warn_tx.json
TX,Bellaire Medical Center-Cornerstone Specialty Hospitals,2020-02-25,126.0,Houston,Harris,,warn_tx.json
TX,King's Manor Methodist Retirement System-Westgate Nursing Home,2020-02-25,70.0,Hereford,Deaf Smith,,warn_tx.json
TX,Windhaven Insurance-Austin,2020-02-25,35.0,Austin,Travis,,warn_tx.json
TX,Windhaven Insurance-Dallas,2020-02-26,96.0,Dallas,Dallas,,warn_tx.json
TX,"NortonLifeLock, Inc.",2020-02-28,2.0,Plano,Collin,,warn_tx.json
TX,USAA - San Antonio,2020-03-03,26.0,San Antonio,Bexar,,warn_tx.json
TX,Concentrix CVG,2020-03-05,135.0,Laredo,Webb,,warn_tx.json
