notice_date,company_raw,county,n_employees,layoff_type,city,source,state
2022-07-14,OnePointOne Inc.,Santa Clara County,14.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-07-15,Gardena Honda,Los Angeles County,90.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-07-19,"Amy&rsquo;s Kitchen, Inc.",Santa Clara County,331.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-07-22,Adventist Health,Placer County,52.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-25,Schneider Electric,Orange County,9.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-21,"Rise Baking Company dba Brill, Inc.",San Bernardino County,78.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-18,Invitae Corporation,Orange County,48.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-18,"Imperfect Foods, Inc.",San Francisco County,50.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-18,Invitae Corporation,San Francisco County,736.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-26,Zymergen Inc.,Alameda County,74.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-20,"RingCentral, Inc.",San Mateo County,25.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-20,"RingCentral, Inc.",San Mateo County,25.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-28,Owens Corning,Santa Clara County,225.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-07-27,Inland SoCal United Way,Riverside County,136.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-01,Bayview Hunters Point,San Francisco County,82.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-01,Alza Corporation,Solano County,28.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-01,Talis Biomedical Corporation,San Mateo County,57.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-25,"Brinker International Payroll Company, L.P.",Los Angeles County,133.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-02,"Robinhood Markets, Inc.",San Mateo County,146.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-28,"Plaza Palace, Inc. dba Palace Food Depot",Tulare County,68.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-07-27,"Rivian Automotive, LLC",Santa Clara County,111.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-27,"Rivian Automotive, LLC",Santa Clara County,77.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-27,"Rivian Automotive, LLC",Santa Clara County,20.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-27,"Rivian Automotive, LLC",Orange County,25.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-27,"Rivian Automotive, LLC",Orange County,21.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-27,"Rivian Automotive, LLC",Orange County,86.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-27,"Rivian Automotive, LLC",Orange County,9.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-27,"Rivian Automotive, LLC",Orange County,2.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-01,"The Lafayette Hotel, Swim Club & Bungalows",San Diego County,73.0,Layoff Temporary,,ca_2022_23.pdf,CA
2022-08-09,"Modern Times Drinks, Inc.",Orange County,33.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-09,"Modern Times Drinks, Inc.",San Diego County,57.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-09,"Modern Times Drinks, Inc.",San Diego County,16.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-09,"Modern Times Drinks, Inc.",San Diego County,3.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-09,"Modern Times Drinks, Inc.",San Diego County,15.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-03,Godspeed Logistics LLC,Los Angeles County,64.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-04,"Safran Cabin Galleys US, Inc.",Orange County,100.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-05,Hubbell Power Systems,San Bernardino County,193.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-07-29,San Francisco Housing Authority,San Francisco County,15.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-29,San Francisco Housing Authority,San Francisco County,65.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-07-29,San Francisco Housing Authority,San Francisco County,66.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-08,"HCI, LLC",Riverside County,111.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-08,"HCI, LLC",Riverside County,30.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-08,"HCI, LLC",Riverside County,31.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-08,"HCI, LLC",San Bernardino County,109.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-11,Fasnap Corporation,Orange County,5.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-01,"Wallboard Tool Co., Inc.",Los Angeles County,100.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-08,"Tempo Automation, Inc.",San Francisco County,54.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-09,Shift Technologies Inc.,Los Angeles County,77.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-09,Shift Technologies Inc.,Alameda County,52.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-03-22,"Teva Parental Medicines, Inc.",Orange County,305.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-09,Shift Technologies Inc.,Sacramento County,81.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-09,Shift Technologies Inc.,San Diego County,53.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-09,Shift Technologies Inc.,Los Angeles County,33.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-15,Timber Products Company,Amador County,145.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-08,Atara Biotherapeutics,San Mateo County,14.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-12,Malwarebytes,Santa Clara County,47.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-15,"Avanir Pharmaceuticals, Inc.",Orange County,16.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-08,Atara Biotherapeutics,Ventura County,55.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-08,Atara Biotherapeutics,Ventura County,8.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-15,Autodesk,Marin County,578.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-03,Promenade Care Center LLC,Fresno County,111.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-07-29,Silgan Containers,Stanislaus County,51.0,Layoff Temporary,,ca_2022_23.pdf,CA
2022-08-11,Silgan Containers,Stanislaus County,35.0,Layoff Temporary,,ca_2022_23.pdf,CA
2022-07-21,King&rsquo;s Fish House,San Bernardino County,74.0,Closure Temporary,,ca_2022_23.pdf,CA
2022-08-19,"PACT Pharma, Inc.",San Mateo County,51.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-25,Zymergen Inc.,Alameda County,80.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-26,"Cal-Multi, LLC",San Diego County,100.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-29,"Santa Teresita, Inc.",Los Angeles County,96.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-26,"NBCUniversal Media, LLC and NBCUniversal
Production Services, LLC",Los Angeles County,37.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-26,Dacor,Los Angeles County,91.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-25,Mechanics Bank,Santa Barbara County,56.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-31,"Snap, Inc. wholly owned subsidiary of PSA Risk
Management Services Inc.",Los Angeles County,401.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-31,Infineon Technologies Americas Corp.,Riverside County,375.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-31,"Snap Inc., subsidiary of PSA Risk Management
Services",Santa Clara County,44.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-01,Elwyn California,Orange County,51.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-31,"Snap, Inc. wholly owned subsidiary of PSA Risk
Management Services Inc.",San Francisco County,40.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-01,Bakersfield Physical Therapy Clinic,Kern County,9.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-01,USRA at AFRC,Los Angeles County,17.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-01,USRA at AFRC,Los Angeles County,5.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-03,"Reali, Inc.",San Mateo County,132.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-01,"ABM Industry Groups, LLC",San Bernardino County,66.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-08-31,"GoodRx, Inc.",Los Angeles County,69.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-08,"Triple B Corporation at Jardines Farming and
Harvesting Operations",San Benito County,48.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-06,Syncreon,Los Angeles County,33.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-05,"Eko Devices, Inc.",Alameda County,5.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-07,Sierra Monitor Corporation,Santa Clara County,26.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-09-06,Fresh Ideas Flower Company,Stanislaus County,13.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-08,Temple-Culberson Enterprises LLC,Los Angeles County,50.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-18,"Clairemont Healthcare & Wellness Centre, LLC dba
Abby Gardens Healthcare Center",San Diego County,104.0,Closure Permanent,,ca_2022_23.pdf,CA
