state,company_raw,notice_date,n_employees,city,county,layoff_type,source
OR,Portland - Production Facility,2025-07-29,90.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,Store #128,2025-07-16,249.0,Portland,,Permanent closure,warn_or.json
OR,Oregon Mutual,2025-07-11,10.0,McMinnville,,Reduction,warn_or.json
OR,Oregon - Remote Employees,2025-07-11,32.0,,,Reduction,warn_or.json
OR,"Outside Van, LLC",2025-07-08,56.0,Portland,,Permanent closure,warn_or.json
OR,"Elam Young Pkwy., Hillsboro",2025-07-07,174.0,Hillsboro,,Reduction,warn_or.json
OR,Aloha Facility,2025-07-07,194.0,Aloha,,Reduction,warn_or.json
OR,"Century Blvd., Hillsboro",2025-07-07,1544.0,Hillsboro,,Reduction,warn_or.json
OR,"25th Ave., Hillsboro",2025-07-07,597.0,Hillsboro,,Reduction,warn_or.json
OR,Rogue Valley Transportation District,2025-06-23,82.0,Medford,,Large Layoff - 10 or more workers,warn_or.json
OR,Pilot Rock Sawmill,2025-07-01,62.0,Pilot Rock,,Permanent closure,warn_or.json
OR,Prineville Facility,2025-06-24,52.0,Prineville,,Permanent closure,warn_or.json
OR,Prineville Facility,2025-06-24,51.0,Prineville,,Permanent closure,warn_or.json
OR,Prineville Facility,2025-06-24,81.0,Prineville,,Permanent closure,warn_or.json
OR,PIVOT Job Corps Center Facility,2025-06-09,12.0,Portland,,Permanent closure,warn_or.json
OR,Springdale Job Corps Center,2025-06-09,77.0,Troutdale,,Permanent closure,warn_or.json
OR,Tongue Point Job Corps Center,2025-06-04,168.0,Astoria,,Large Layoff - 10 or more workers,warn_or.json
OR,"ESS Tech, Inc.",2025-05-27,195.0,Wilsonville,,Permanent closure,warn_or.json
OR,Powin LLC,2025-05-29,96.0,Tualatin,,Large Layoff - 10 or more workers,warn_or.json
OR,Remote Workers,2025-05-29,149.0,,,Large Layoff - 10 or more workers,warn_or.json
OR,Store 0505 - Portland,2025-04-30,87.0,Portland,,Permanent closure,warn_or.json
OR,Chiloquin Facility,2025-05-01,128.0,Chiloquin,,Permanent closure,warn_or.json
OR,Oregon - Remote Employees,2025-04-22,16.0,Portand,,Large Layoff - 10 or more workers,warn_or.json
OR,"Lignetics, Inc. - Cascade Locks Facilit",2025-04-21,11.0,Cascade Locks,,Temporary Layoff,warn_or.json
OR,"Navajo Incorprated, Portland Facility",2025-04-16,11.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,Safeway Store 4381,2025-03-26,82.0,Baker City,,Permanent closure,warn_or.json
OR,Oregon - Statewide,2025-03-26,105.0,,,Large Layoff - 10 or more workers,warn_or.json
OR,"Portland, Oregon Facility",2025-04-08,72.0,Portland,,Permanent closure,warn_or.json
OR,Portland Facility,2025-04-27,47.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
GA,UPS,2025-03-28,244.0,Atlanta,,Temporary Layoff,warn_or.json
OR,Portland - Site,2025-02-18,96.0,Portland,,Permanent closure,warn_or.json
OR,Macy's - Salem Center,2025-01-09,56.0,Salem,,Permanent closure,warn_or.json
OR,Oregon - Remote Employees,2024-12-20,1.0,,,Reduction,warn_or.json
CA,"Vimo, Inc. dba GetInsured",2024-12-20,429.0,Mountain View,,Reduction,warn_or.json
OR,Albertsons Store 0515,2024-12-06,87.0,Roseburg,,Permanent closure,warn_or.json
