spec,coef,se,mde,pct,unit,N
"Within-Affirm, log CR count",-0.3027364504483634,0.08336733149675075,0.23356066541132448,26.308945140779993,differential growth,108
"Cross-firm, CR share",-0.08128855554014955,0.030070304382261194,0.08424451370277723,26.288595803105597,of mean CR share,188
"Cross-firm, log CR count",-0.33050548897383975,0.43485273151650145,1.2182768898256577,238.13562615524071,differential growth,245
Triple-difference (DDD),0.03928342409973273,0.3596265236914891,1.0075242743762207,173.88120674846243,differential growth,540
