product,pre_permo,post_permo,growth_x
Credit reporting or other personal consumer reports,60.0,223.66666666666666,3.7277777777777774
Debt collection,36.8974358974359,188.6,5.111466296038916
"Payday loan, title loan, personal loan, or advance loan",21.102564102564102,122.4,5.800243013365735
Credit card,7.641025641025641,29.933333333333334,3.91744966442953
Checking or savings account,2.2564102564102564,4.733333333333333,2.0977272727272727
"Money transfer, virtual currency, or money service",1.7179487179487178,2.8,1.6298507462686567
