firm,furnisher,cr_pre_permo,cr_post_permo,growth_x
Affirm,yes (Apr 2025),84.53846153846153,223.66666666666666,2.645738550197149
Klarna,not confirmed,2.066666666666667,22.866666666666667,11.064516129032258
Sezzle,not confirmed,5.861111111111111,20.733333333333334,3.5374407582938394
Zip,not confirmed,1.0,1.0,1.0
Perpay,not confirmed,2.5555555555555554,5.866666666666666,2.2956521739130435
