firm,furnisher,N,cr_share,permo_pre,permo_post,first,last
Affirm,Yes (~Apr 2025),15259,0.4359394455731044,169.87179487179486,575.6,2022-01,2026-06
Klarna,Not confirmed,2289,0.17693315858453473,14.205128205128204,115.66666666666667,2022-01,2026-06
Sezzle,Not confirmed,1267,0.4119968429360695,11.564102564102564,54.4,2022-01,2026-06
Zip,Not confirmed,313,0.04153354632587859,2.823529411764706,14.466666666666667,2022-01,2026-06
Perpay,Not confirmed,226,0.4911504424778761,3.3846153846153846,12.133333333333333,2024-02,2026-06
All BNPL,,19354,0.3980055802418105,199.23076923076923,772.2666666666667,2022-01,2026-06
