model,coef,t,N,r2
"(A) within-Affirm, log count (OLS)",-0.3027364504483634,-3.63135589220776,108,0.9668264454395927
"(A) within-Affirm, count (Poisson)",-0.4439263565484661,-13.438258433921172,108,
"(B) cross-firm, CR share (OLS)",-0.08128855554014955,-2.7032834289533354,188,0.742738240681153
