spec,coef,t,N
"All 5 firms, event Apr-2025",0.03928342409973273,0.10923394552909171,540
Excl. Klarna (tiny CR base),0.20397243264473924,0.4605800543560901,432
Alt.\ event Feb-2025 (TransUnion),0.10568875682696538,0.2684590004423475,540
