firm,furnisher,coef,t,ncr,N
Affirm,Yes,-0.3027364504483634,-3.63135589220776,6652,108
Klarna,No,0.15204715108694122,0.9787373344662141,405,108
Sezzle,No,-0.16791488866054527,-0.975725498087287,522,108
Zip,No,-1.3682628482628256,-7.170932239433217,13,108
Perpay,No,0.01605108764403429,0.08200077500478553,111,108
