spec,coef,t,N
"Baseline: event Apr-2025, OLS log count",-0.3027364504483634,-3.63135589220776,108
Poisson count,-0.4439263565484661,-13.438258433921172,108
Event Feb-2025 (TransUnion),-0.18606966701797356,-1.897566175023615,108
Event Jun-2025 (2-mo.\ lag),-0.377729469865405,-5.09912204460666,108
Symmetric $\pm$12-mo.\ window,-0.46425783893634076,-5.21380780241591,48
Symmetric $\pm$9-mo.\ window,-0.4199685532399849,-3.9445113932769416,36
Symmetric $\pm$6-mo.\ window,-0.30914550396599993,-2.5877627473281746,24
Drop 2022 (start 2023),-0.4062087088052182,-5.234333334317556,84
Furnishing-plausible CFPB issues only,-0.2714546119168877,-3.2421712988396916,108
