company,ticker,cik,edgar_filings_url,edgar_fulltext_url,trigger,lookback_months,discretion,covers_former,severance_link,adopted_date,source_url,confidence
GREENBRIER COS INC (THE),GBX,0000923120,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000923120&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000923120,,,,,,,,
EXTREME NETWORKS INC,EXTR,0001078271,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001078271&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001078271,,,,,,,,
CENTURY COMMUNITIES INC,CCS,0001576940,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001576940&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001576940,,,,,,,,
ARCUS BIOSCIENCES INC,RCUS,0001724521,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001724521&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001724521,,,,,,,,
UNITIL CORP,UTL,0000755001,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000755001&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000755001,,,,,,,,
ESSENTIAL PPT RLTY TST,EPRT,0001728951,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001728951&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001728951,,,,,,,,
PREFERRED BANK LOS ANGELES,PFBC,0001492165,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001492165&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001492165,,,,,,,,
ARTIVION INC,AORT,0000784199,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000784199&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000784199,,,,,,,,
EMPLOYERS HOLDINGS INC,EIG,0001379041,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001379041&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001379041,,,,,,,,
GRIFFON CORP,GFF,0000050725,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000050725&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000050725,,,,,,,,
