family,k,mkt_abs,disp,drift,rev
Trade,2,8.58,4.653562368586442,1.4091867590576301,-0.09908637531354185
Micro/Disclosure,2,0.6050000000000001,4.007014930686253,0.7661318596880655,0.024085977636838812
Financial,2,1.865,3.4647218493808065,-2.138000936006394,0.1610692099714084
Technology,2,2.0500000000000003,3.175849333343341,-0.23466626988300623,0.04533017951848132
Industrial/Tax,2,1.205,2.6949623497615613,0.11910832813471317,-0.054207194974292966
