measure,spearman_vs_base,p
"SD[0,+5]",0.7212121212121211,0.01857315508946023
"SD[-5,+10]",0.7939393939393938,0.006099923313696911
"IQR[0,+1]",0.8060606060606059,0.004862061101964607
"MAD[0,+1]",0.8303030303030302,0.002940227023279509
