stat,mu,se,lo,hi,Q,df,pQ,I2,tau2
"Mean drift CAR[+2,+10]",-0.01445753829038672,0.46448275088813684,-0.924843730031135,0.8959286534503614,947.140490016402,9,0.0,99.04977138081763,2.1356539302537123
"Mean pre CAR[-5,-1]",-0.8872012410279219,0.2987531867388829,-1.4727574870361324,-0.3016449950197114,706.1037806357798,9,0.0,98.72539982835153,0.8776629674840503
