date,event,type,owner,n,mkt_ann_pct,mean_ann,sd_ann,mean_pre,mean_drift,reversal_corr,antic_share,complete_by1
2022-08-09,CHIPS Act signed,Industrial policy,A. Tang (#11),1967,1.7000000000000002,-0.21553100167385958,2.8981580744330158,0.7815832504662196,-0.46331263043368176,0.07158744704820055,0.7838452301616678,0.3174972725378906
2022-08-16,IRA / buyback excise tax,Tax,cohort,1968,-0.7100000000000001,-0.45496669405656315,2.491766625090107,-0.5047579837523446,0.7015292867031082,-0.18000183699678649,0.5259404029338169,0.39340101619523804
2022-11-30,ChatGPT release,Technology,N. Ngo (#09),1969,3.1300000000000003,-0.124105635136454,3.118189377018187,0.47050506544426124,0.2116256860376262,0.17293139123989973,0.7912825399622835,0.36965760210410614
2023-03-09,SVB collapse,Banking,A. Zhang (#10),1977,-3.66,-0.9985571870058715,4.212285484746468,-1.1325348854089958,-3.4858366976650568,0.4226553939888807,0.5314340473922617,0.222673835681396
2023-03-14,GPT-4 release,Technology,N. Ngo (#09),1977,0.9699999999999999,-1.2707433043512502,3.2335092896684943,-1.7838005360798448,-0.6809582258036389,-0.08227103220293709,0.5839826269535855,0.6510951007198332
2024-02-05,SEC 5-day 13D rule,Disclosure,cohort,1957,-0.11000000000000003,0.0131003164981952,2.818605267663095,-1.1652117311248271,1.226472582730594,-0.008307721835920434,0.988882133111834,0.01056841151201811
2025-04-03,Reciprocal tariff shock,Trade,D. Yaveroglu (#05),1913,-11.01,-1.110409046031683,5.8407166306325555,0.11515634972094146,0.22200386385642662,-0.15407614535484945,0.09396181559958577,0.8333820828296616
2025-04-09,Tariff pause,Trade (reversal),D. Yaveroglu (#05),1913,6.1499999999999995,-0.22351512399086676,3.4664081065403294,-2.514068397882943,2.5963696542588335,-0.04409660527223424,0.9183531307063552,0.0792639208931091
2025-07-18,GENIUS Act signed,Crypto/regulatory,D. Jo'rabekova (#13),1895,0.06999999999999999,-0.42889974968935973,2.7171582140151447,-1.0705054293352432,-0.7901651743477311,-0.10051697404606391,0.7139534025296825,0.3518268315595554
2025-11-03,Reg NMS half-cent tick,Microstructure,K. Borra (#12),1881,-1.0999999999999999,-0.15842422588661845,5.195424593709411,-2.1161614424579764,0.30579113664553714,0.05647967710959806,0.9303502927625861,0.34127312164436313
