quintile,n,mean_ann,mean_drift,t_drift
1,3855,-4.797363311982437,-0.3146557898855483,-2.1340153958849433
2,3847,-1.4942321181949108,-0.24935461146761362,-2.571789633239766
3,3849,-0.31790398785428586,-0.1804891295591145,-2.3801841496856886
4,3847,0.6854575895841234,0.18535877548433619,2.2519767891292775
5,3853,3.4670403373307503,0.418262991396361,3.556812262743454
