date,event,n,beta_mean,beta_sd,logmc_mean,ann_sd
2022-08-09,CHIPS Act signed,1967,0.9547300421450801,0.5750567876736243,9.269867039186886,2.8981580744330158
2022-08-16,IRA / buyback excise tax,1968,0.95562384863293,0.5708820086043828,9.269666295586507,2.491766625090107
2022-11-30,ChatGPT release,1969,0.9585139950586002,0.5388194537485479,9.269412667981326,3.118189377018187
2023-03-09,SVB collapse,1977,0.9666058884843691,0.49058718994872713,9.268174095304685,4.212285484746468
2023-03-14,GPT-4 release,1977,0.9680689536843674,0.4900312526040202,9.268174095304685,3.2335092896684943
2024-02-05,SEC 5-day 13D rule,1957,1.015261180835543,0.5432384777571211,9.275088352249275,2.818605267663095
2025-04-03,Reciprocal tariff shock,1913,0.8234814673642895,0.5476737931330422,9.287961765151936,5.8407166306325555
2025-04-09,Tariff pause,1913,0.8298776517457466,0.5496589587288465,9.287961765151936,3.46640810654033
2025-07-18,GENIUS Act signed,1895,0.8616879890859677,0.5137739425321728,9.295400995328714,2.7171582140151442
2025-11-03,Reg NMS half-cent tick,1881,0.8739236604452199,0.5121907899699016,9.302007550200283,5.195424593709411
