group,n,disp_ann,mean_drift,sd_drift,rev
Small,6475,3.9101516760786468,-0.2304384750593907,7.358652385198721,0.01693853043343738
Mid,6469,4.326426678954839,-0.05584924233746011,7.1238409747794,0.04807576288666458
Large,6473,2.921074870549535,0.19966884238782834,5.317987508614093,0.03716668380192069
